TBT_ALC,BBT_ALC,Final_vol,Compound,Compound_weight,Comp_rate,Actual_comp_rate,Base_beer ,DA_water,Pred_Base_beer,Pred_DA_water
9.65,8.8,1005,4.4,5060,5,5.03,955,10,917,49
9.58,8.8,1331,5.9,6785,5,5.1,1267,11,1240,57
9.39,8.8,1344,5.9,6785,5,5.05,1283,8,1265,32
9.51,8.8,634,2.8,3220,5,5.08,604,4,602,23
9.73,8.8,1329,5.9,6785,5,5.11,1260,16,1221,76
10.2,8.8,1327,5.9,6785,5,5.11,1245,29,1165,133
9.61,8.8,1345,5.9,6785,5,5.04,1272,19,1238,60
9.61,8.8,638,2.8,3220,5,5.05,602,11,596,29
9.55,8.8,1338,5.9,6785,5,5.07,1270,15,1244,53
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,8.73,,,,,,,,
,,8.65,,,,,,,,
,,8.61,,,,,,,,
,,8.67,,,,,,,,
,,8.71,,,,,,,,
,,8.79,,,,,,,,
,,8.78,,,,,,,,
,,8.77,,,,,,,,
,,8.63,,,,,,,,
